document_id,title,so_ky_hieu,loai_van_ban,tinh_trang_hieu_luc,content_text_length,content_sha256
124186,Quyết định ban hành Quy định về màu sơn xe taxi trên địa bàn tỉnh Đắk Nông,18/2017/QD-UBND,Quyết định,Còn hiệu lực,74,14ed3cc47da5790292e3ed17cf5f2cbd3a3cd2d2d8fa04b50e3b8e3832f8dfe9
126169,Về việc bãi bỏ một số văn bản quy phạm pháp luật,25/2017/QĐ-UBND,Quyết định,Còn hiệu lực,48,d2afc6d9b98afb735da71b514b54ed4a5cc800eeaac498fce2cc9fa2e62c8a88
126580,"Nghị quyết Thông qua điều chỉnh quy hoạch 3 loại rừng tỉnh
Đắk Nông",06/2017/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,68,eeb2c62fc24c6605006c66efc164d5a0fd669a004d6cd4ba2f57f75f2525f569
127252,Quy định giá dịch vụ trông giữ xe trên địa bàn tỉnh Đắk Nông,01/2018/QĐ-UBND,Quyết định,Còn hiệu lực,60,1e1ee76b3546b6b4293e432f6852dc17cf08b409e68f6dcb9738907000eac47c
127285,Quy định giá các loại tài nguyên trên địa bàn tỉnh Đắk Nông,02/2018/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,59,2838da8ed1a08b3736c3d6ff089045d5ae2c3191ba9505b3697196ab539966b1
132478,Quyết định ban hành Quy chế phối hợp quản lý nhà nước đối với cụm công nghiệp,19/2010/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,77,be7dc7e41e9a29e192c01d88221b7e036b23378a5b7d297019ea0dd92284b0d3
133680,Quyết định về việc đính chính Quyết định số 2985/2007/QĐ-BNG ngày 29/11/2007 của Bộ trưởng Bộ Ngoại giao,3266/QĐ-BNG,Quyết định,Còn hiệu lực,19,98eeb364ba8f038fce4ba53ab6ad53b86a92d63c969d2d16b62de1894b980215
133668,Quyết định của Bộ trưởng Bộ Ngoại giao ban hành Quy chế về việc phối hợp chuẩn bị Thư ủy nhiệm và một số vấn đề lễ tân liên quan đến việc trình Thư ủy nhiệm của Người đứng đầu Cơ quan đại diện Việt Nam được bổ nhiệm ở nước ngoài,213/QĐ,Quyết định,Còn hiệu lực,19,2a19fc8d618fe60145c2768f82d98b04181723721487df726a99667eb636ee68
132476,Việc đính chính lại hiệu lực thi hành 02 Quyết định của Ủy ban nhân dân tỉnh,2054/QĐ-UBND-UBND,Quyết định,Còn hiệu lực,76,a4586513dc500aaa3d598b37db2e1245a11674e37813cfc441a48d2d31600074
133670,Quyết định ban hành Quy định về việc khen thưởng Cờ thi đua tại Bộ Ngoại giao,1970/2006/QĐ-BNG,Quyết định,Hết hiệu lực toàn bộ,23,5cb32b884bdfc1aaff73862777f05e7178ef2966049449cbc7f66051800c4d0f
132943,Ban hành Quy định bảo vệ môi trường trên địa bàn tỉnh Đắk Nông,39/2018/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,62,104258000234c41f3041c2a730ed6c4b2bf87be3df9c69e6e7a67c2121529bd4
136789,Thông tư quy định chế độ báo cáo thuộc phạm vi quản lý nhà nước của Bộ Ngoại giao,2682/2019/TT-BNG,Thông tư,Hết hiệu lực toàn bộ,1,cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8
133819,Chỉ thị của Thủ tướng Chính phủ về việc tiếp nhận trở lại nhưng công dân Việt Nam không được nước ngoài cho cư trú,747-TTg,Chỉ thị,Hết hiệu lực toàn bộ,19,98eeb364ba8f038fce4ba53ab6ad53b86a92d63c969d2d16b62de1894b980215
133822,Quyết định ban hành Quy định hướng dẫn thực hiện khen thưởng bằng hình thức Giấy khen tại Bộ Ngoại giao,1658/2006/QĐ-BNG,Quyết định,Còn hiệu lực,19,98eeb364ba8f038fce4ba53ab6ad53b86a92d63c969d2d16b62de1894b980215
133821,"Quyết định về việc quy định chức năng, nhiệm vụ, quyền hạn, cơ cấu tổ chức của Quỹ Hỗ trợ, vận động cộng đồng người Việt Nam ở nước ngoài thuộc Ủy ban Nhà nước về người Việt Nam ở nước ngoài",3095/2008/QĐ-BNG,Quyết định,Hết hiệu lực toàn bộ,19,98eeb364ba8f038fce4ba53ab6ad53b86a92d63c969d2d16b62de1894b980215
136361,Về việc thông qua Chương trình phát triển nhà ở tỉnh Đắk Nông đến năm 2030,08/2019/NQ-HĐND,Nghị quyết,Còn hiệu lực,74,8db549c8ad0b30aedad7338463ea9e107e82f0189858446271bb0a2560c048f8
147346,Thông tư quy định về Hội giảng nhà giáo giáo dục nghề nghiệp,19/2020/TT-BLĐTBXH,Thông tư,Còn hiệu lực,60,d6e0fa8e7a37f202b8283f6bdf4622a49b8fef5283dea99e74ae6dcdc1ab0136
